,股票简称,昨收,前连板,昨封单,昨开,昨首停,交易日,昨竞一,selected,1_c_chg,2_c_chg,3_c_chg,4_c_chg,5_c_chg,0_c_chg,profit
002549.SZ,凯美特气,7.71992819,2,,0.0,2021-08-03 11:06:36,20210803,False,False,-0.75,-1.3434,-2.383,2.8771,0.7627,-2.28007181,-3.03007181
001210.SZ,金房节能,-10.0,4,,10.003725782414303,2021-08-04 09:30:00,20210804,True,False,-8.9629,-8.9359,-3.3458,1.2658,-3.3163,-20.0,-28.962899999999998
000829.SZ,天音控股,10.0,2,4363898.0,10.039370078740154,2021-08-04 09:30:00,20210804,True,False,7.3345,-1.3333,6.6723,10.0,-4.3916,0.0,7.3345
600815.SH,厦工股份,9.89010989,2,15132753.0,8.058608058608067,2021-08-04 09:30:08,20210804,False,True,10.0,9.0909,-9.7222,-6.1538,-1.3115,-0.10989011000000026,18.98100989
002837.SZ,英维克,10.0,3,184250.0,1.6522988505747158,2021-08-04 10:37:11,20210804,False,False,6.0091,10.0,-4.4245,-0.8204,10.0,0.0,6.0091
002782.SZ,可立克,10.0,2,11082883.0,-2.0458265139116203,2021-08-04 14:31:43,20210804,False,False,-9.5238,-3.2895,-2.7211,-0.0874,5.9493,0.0,-9.5238
002256.SZ,兆新股份,10.0,2,129183100.0,9.961685823754799,2021-08-05 09:30:00,20210805,True,False,10.1045,10.1266,10.0,10.0,10.0,0.0,50.2311
601139.SH,深圳燃气,10.0,2,33264985.0,9.977064220183475,2021-08-05 09:30:00,20210805,True,False,7.4035,-8.5437,10.0,-1.0618,-5.7561,0.0,7.4035
600815.SH,厦工股份,10.0,3,13619657.0,9.999999999999995,2021-08-05 09:31:15,20210805,False,True,9.0909,-9.7222,-6.1538,-1.3115,-2.99,0.0,9.0909
000829.SZ,天音控股,7.33452594,3,,1.1627906976744256,2021-08-05 14:39:04,20210805,False,False,-1.3333,6.6723,10.0,-4.3916,10.0,-2.66547406,-3.99877406
002256.SZ,兆新股份,10.10452962,3,107116700.0,10.10452961672474,2021-08-06 09:30:00,20210806,True,False,10.1266,10.0,10.0,10.0,10.0,0.10452961999999921,50.23112962
