,Unnamed: 0,股票简称,昨首停,昨收,前连板,昨封单,昨开,交易日,昨竞一,selected,1_c_chg,2_c_chg,3_c_chg,4_c_chg,5_c_chg,0_c_chg,profit
738,600814.SH,杭州解百,2021-04-16 09:32:15,-3.23785803,4,,3.4869240348692547,20210416,False,True,-3.6036,-9.8798,1.3333,1.9006,-8.0344,-13.23785803,-16.84145803
747,003043.SZ,华亚智能,2021-04-19 09:31:45,10.0,9,692805.0,4.626450874611735,20210419,False,True,10.0,10.0,10.0,-10.0,-10.0,0.0,10.0
763,002786.SZ,银宝山新,2021-04-20 09:30:15,10.0,2,11264458.0,7.503410641200544,20210420,False,True,10.0,2.4803,10.0,-6.3,-10.0,0.0,12.4803
773,605378.SH,野马电池,2021-04-21 09:30:45,1.06761566,7,,10.008896797153024,20210421,False,True,-6.6901,-10.0,-9.0909,3.9769,-2.051,-8.93238434,-15.62248434
781,002786.SZ,银宝山新,2021-04-22 09:30:15,2.48027057,4,,9.35738444193912,20210422,False,True,10.0,-6.3,-10.0,-9.6085,-10.0,-7.51972943,-3.81972943
792,003043.SZ,华亚智能,2021-04-23 09:31:15,-10.0,13,,7.190710138454665,20210423,False,True,-10.0,-10.0,-2.9867,-1.7682,0.5304,-20.0,-42.9867
803,601127.SH,小康股份,2021-04-26 09:33:00,10.0,2,2872049.0,8.00837477100236,20210426,False,True,3.4975,8.046,-6.2766,10.0,10.0,0.0,3.4975
810,605086.SH,龙高股份,2021-04-27 09:43:02,10.0,7,1127930.0,5.699481865284966,20210427,False,True,-10.0,-10.0,-8.0055,-1.4504,10.0,0.0,-28.0055
815,000908.SZ,景峰医药,2021-04-28 09:31:45,10.0,2,20553040.0,6.446280991735547,20210428,False,True,-6.1562,10.0,-3.6337,-7.089,3.4091,0.0,-6.1562
822,002433.SZ,太安堂,2021-04-29 09:48:15,-1.86915888,2,,5.140186915887845,20210429,False,True,-10.0,-5.5556,-0.2801,1.6854,-1.3812,-11.86915888,-27.42475888
829,603933.SH,睿能科技,2021-04-30 09:30:45,10.0,2,2751156.0,9.892827699917554,20210430,False,True,1.1994,-6.6667,-2.7778,10.0,10.0,0.0,1.1994
840,000718.SZ,苏宁环球,2021-05-06 09:33:49,2.33918129,3,,3.9473684210526394,20210506,False,True,-10.0,0.0,-4.4444,10.0,10.0,-7.66081871,-17.66081871
850,603020.SH,爱普股份,2021-05-07 09:30:15,10.0,2,3875489.0,10.008340283569636,20210507,False,True,10.0,10.0,10.0,3.246,10.0,0.0,33.246
866,603721.SH,中广天择,2021-05-10 09:32:48,10.0,2,1364990.0,9.649626651349797,20210510,False,True,1.1488,10.0,-7.5551,4.1624,-3.6062,0.0,1.1488
882,000572.SZ,海马汽车,2021-05-11 09:30:45,0.22675737,4,,4.988662131519269,20210511,False,True,4.9774,4.9569,-2.6694,-5.0633,2.0,-9.77324263,-4.79584263
893,605300.SH,佳禾食品,2021-05-12 09:30:30,10.0,5,2527204.0,7.040472175379434,20210512,False,True,2.453,10.0,-0.9184,-7.0717,-3.0661,0.0,2.453
909,600250.SH,南纺股份,2021-05-13 09:31:00,10.0,2,2116769.0,3.374777975133222,20210513,False,True,-9.0468,-10.0,-2.1696,2.2177,-4.5365,0.0,-9.0468
