,股票简称,昨首停,昨收,前连板,昨封单,昨开,交易日,昨竞一,selected,1_c_chg,2_c_chg,3_c_chg,4_c_chg,5_c_chg,0_c_chg,profit
003032.SZ,传智教育,2021-01-19 09:30:00,10.0,5,14873197.0,9.9831744251262,20210119,True,False,10.0,10.0,-10.0,-5.3371,6.3304,0.0,4.6629
002263.SZ,大东南,2021-01-19 09:30:00,-3.82513661,3,,10.109289617486342,20210119,True,False,10.0,-4.9096,-10.0,-6.9486,-6.1688,-13.82513661,-8.734736609999999
603500.SH,祥和实业,2021-01-19 09:30:45,10.0,3,2624640.0,6.3670411985018704,20210119,False,True,10.0,-10.0,-10.0,-10.0,-6.0272,0.0,-26.0272
002681.SZ,奋达科技,2021-01-19 09:30:45,2.27272727,3,,4.545454545454529,20210119,False,False,5.1111,-2.537,4.9892,4.9587,0.0,-7.72727273,-2.6161727299999997
600793.SH,宜宾纸业,2021-01-19 09:33:15,10.0,9,956939.0,8.484221417485777,20210119,False,False,-7.3377,-4.3147,1.2202,-10.0,-10.0,0.0,-7.3377
002280.SZ,联络互动,2021-01-19 09:33:45,5.16129032,3,1232675.0,4.5161290322580685,20210119,False,False,-0.6135,-1.8519,-1.8868,5.1282,4.878,-4.83870968,-5.45220968
000918.SZ,嘉凯城,2021-01-19 09:35:45,10.0,2,4902200.0,1.5486725663716878,20210119,False,False,-4.4266,-3.7895,-0.6565,1.1013,10.0,0.0,-4.4266
603026.SH,石大胜华,2021-01-19 09:38:15,10.0,2,596326.0,1.157089625416741,20210119,False,False,-4.4393,2.6679,10.0,5.8814,1.7944,0.0,-4.4393
601015.SH,陕西黑猫,2021-01-19 09:45:02,10.0,2,3612198.0,6.222222222222228,20210119,False,False,10.101,10.0,6.1667,10.0,10.0,0.0,26.267699999999998
002370.SZ,亚太药业,2021-01-19 09:55:02,10.0,3,4918616.0,4.889975550122254,20210119,False,False,10.0,10.101,-10.0,-4.6843,-10.0,0.0,5.416699999999999
002305.SZ,南国置业,2021-01-19 10:13:24,10.15625,4,20031688.0,5.078124999999996,20210119,False,False,10.0,-9.0323,-10.0,-9.8425,-5.2402,0.15625,1.1239500000000007
300906.SZ,日月明,2021-01-19 10:21:44,20.0,3,769903.0,11.31230166137764,20210119,False,False,-1.6024,1.7075,-10.928,0.6981,2.9463,10.0,8.3976
000155.SZ,川能动力,2021-01-19 10:48:53,0.54815975,2,,5.716523101018015,20210119,False,False,10.0,-0.7082,10.0,3.3722,7.4655,-9.45184025,-0.1600402500000001
002813.SZ,路畅科技,2021-01-19 14:49:53,10.0,6,448100.0,-4.438565549676675,20210119,False,False,-7.9904,-6.3317,-5.1163,-5.5229,-0.9339,0.0,-7.9904
003031.SZ,中瓷电子,2021-01-20 09:30:00,10.0,12,6351616.0,10.004779353194191,20210120,True,False,10.0,10.0,4.7152,1.8171,-10.0,0.0,24.7152
