,股票简称,昨收,前连板,昨开,昨首停,昨封单,交易日,昨竞一,selected,1_c_chg,2_c_chg,3_c_chg,4_c_chg,5_c_chg,0_c_chg,profit
002487.SZ,大金重工,10.0,2,2.339181286549699,2021-10-29 13:46:02,1204500.0,20211029,False,True,4.9973,2.2785,-6.4851,10.0,10.0,0.0,4.9973
600556.SH,天下秀,10.0,2,6.72348484848484,2021-11-01 09:30:30,4016343.0,20211101,False,True,-5.3356,10.0,10.0,2.9301,-4.1606,0.0,-5.3356
002805.SZ,丰元股份,10.0,2,6.514131897711983,2021-11-01 09:34:00,1837285.0,20211101,False,False,-6.5329,2.644,10.0,-10.0,0.9016,0.0,-6.5329
002815.SZ,崇达技术,10.0,2,2.97316896301668,2021-11-01 09:53:48,2150400.0,20211101,False,False,6.1305,0.6211,2.0988,-0.1814,-0.848,0.0,6.1305
002487.SZ,大金重工,4.99734184,3,3.668261562998412,2021-11-01 10:49:25,,20211101,False,False,2.2785,-6.4851,10.0,10.0,-2.7122,-5.00265816,-2.72415816
603283.SH,赛腾股份,4.89780177,2,7.983031237948324,2021-11-01 13:40:42,,20211101,False,False,5.3309,-4.6422,3.1479,2.555,1.9723,-5.10219823,0.2287017699999998
002815.SZ,崇达技术,6.13052076,3,4.812129202373107,2021-11-02 10:05:17,,20211102,False,True,0.6211,2.0988,-0.1814,-0.848,1.5272,-3.8694792400000004,-3.2483792400000002
601218.SH,吉鑫科技,10.0,2,0.34188034188034977,2021-11-02 13:00:05,20210720.0,20211102,False,False,10.0,10.0,2.439,-7.2682,0.0,0.0,22.439
003043.SZ,华亚智能,10.0,2,4.239949748743712,2021-11-03 09:31:31,514300.0,20211103,False,True,10.0,2.8419,1.6782,-2.3951,10.0,0.0,12.841899999999999
600522.SH,中天科技,9.23957482,2,6.295993458708091,2021-11-03 09:45:31,,20211103,False,False,10.0,3.2653,5.6653,0.0623,1.2461,-0.7604251800000004,12.50487482
601218.SH,吉鑫科技,10.0,3,4.813664596273285,2021-11-03 14:30:39,17452256.0,20211103,False,False,10.0,2.439,-7.2682,0.0,2.027,0.0,12.439
002096.SZ,南岭民爆,10.0,2,9.974204643164216,2021-11-04 09:30:00,12174800.0,20211104,True,False,10.0,10.0,10.0,10.0,10.0,0.0,50.0
601218.SH,吉鑫科技,10.0,4,6.638418079096041,2021-11-04 09:58:16,16008808.0,20211104,False,True,2.439,-7.2682,0.0,2.027,-1.8543,0.0,2.439
002870.SZ,香山股份,10.0,2,3.8910505836576035,2021-11-04 10:10:46,844430.0,20211104,False,False,10.0,-1.2402,-2.3488,1.5718,-2.9308,0.0,8.7598
003043.SZ,华亚智能,10.0,3,0.014275517487516227,2021-11-04 14:17:28,327500.0,20211104,False,False,2.8419,1.6782,-2.3951,10.0,3.7564,0.0,2.8419
002096.SZ,南岭民爆,10.0,3,10.007818608287735,2021-11-05 09:30:00,49189000.0,20211105,True,False,10.0,10.0,10.0,10.0,-10.0,0.0,30.0
002751.SZ,易尚展示,10.0,2,10.018552875695734,2021-11-05 09:30:00,3280500.0,20211105,True,False,10.0,-10.0,10.0,-5.0329,-3.832,0.0,4.9671
605555.SH,德昌股份,10.0,2,6.9618633222421265,2021-11-05 09:36:16,1119514.0,20211105,False,True,-3.0479,1.5119,1.5603,-5.4935,10.0,0.0,-3.0479
002870.SZ,香山股份,10.0,3,-0.2021222839818047,2021-11-05 10:13:48,332100.0,20211105,False,False,-1.2402,-2.3488,1.5718,-2.9308,10.0,0.0,-1.2402
300264.SZ,佳创视讯,20.0,2,-2.442159383033424,2021-11-05 10:21:18,4862619.0,20211105,False,False,5.9957,0.202,-0.2016,16.0606,-9.8346,10.0,15.9957
601218.SH,吉鑫科技,2.43902439,5,3.7227214377406934,2021-11-05 10:35:50,,20211105,False,False,-7.2682,0.0,2.027,-1.8543,5.1282,-7.56097561,-14.82917561
003043.SZ,华亚智能,2.84194134,4,2.517518816506615,2021-11-05 13:13:13,,20211105,False,False,1.6782,-2.3951,10.0,3.7564,2.5398,-7.15805866,-5.47985866
002096.SZ,南岭民爆,10.0,4,10.021321961620469,2021-11-08 09:30:00,11669010.0,20211108,True,False,10.0,10.0,10.0,-10.0,-8.3064,0.0,11.6936
002045.SZ,国光电器,10.0,2,10.022779043280185,2021-11-08 09:30:00,8128364.0,20211108,True,False,3.4507,-2.4016,-2.5974,-2.7368,3.2468,0.0,3.4507
002879.SZ,长缆科技,10.0,2,1.8691588785046855,2021-11-08 09:35:16,785151.0,20211108,False,True,0.6261,-2.3556,-2.5489,4.1569,-0.7623,0.0,0.6261
002885.SZ,京泉华,10.0,2,0.0,2021-11-08 09:40:01,2160075.0,20211108,False,False,0.4831,-3.5577,10.0,10.0,3.3361,0.0,0.4831
002751.SZ,易尚展示,10.0,3,1.1804384485666153,2021-11-08 11:28:34,694196.0,20211108,False,False,-10.0,10.0,-5.0329,-3.832,2.6282,0.0,-5.0329
688533.SH,上声电子,20.0,2,9.28702010968921,2021-11-08 13:56:13,,20211108,False,False,0.6703,2.1489,11.1111,5.36,5.0114,10.0,10.6703
002096.SZ,南岭民爆,10.0,5,10.012919896640831,2021-11-09 09:30:00,15464145.0,20211109,True,False,10.0,10.0,-10.0,-8.3064,6.2353,0.0,1.6936
301089.SZ,拓新药业,20.0,2,19.999999999999993,2021-11-09 09:30:00,1279083.0,20211109,True,False,20.0,14.8406,20.0,,,10.0,44.8406
002879.SZ,长缆科技,0.62611807,3,1.7889087656529612,2021-11-09 09:34:34,,20211109,False,True,-2.3556,-2.5489,4.1569,-0.7623,3.3439,-9.37388193,-11.729481929999999
002045.SZ,国光电器,3.45065562,3,0.6901311249137312,2021-11-09 09:55:20,,20211109,False,False,-2.4016,-2.5974,-2.7368,3.2468,1.188,-6.54934438,-8.95094438
603386.SH,广东骏亚,10.0,2,0.6823027718550113,2021-11-09 10:53:21,166100.0,20211109,False,False,-4.1085,2.4656,10.0,-6.0595,-6.2977,0.0,-4.1085
605333.SH,沪光股份,10.0,2,10.013003901170356,2021-11-09 13:22:43,1428497.0,20211109,False,False,10.0,10.0,10.0,10.0,1.9378,0.0,41.9378
002096.SZ,南岭民爆,10.0,6,9.982384028185551,2021-11-10 09:30:00,9034499.0,20211110,True,False,10.0,-10.0,-8.3064,6.2353,-4.2636,0.0,-8.3064
603192.SH,汇得科技,10.0,2,10.008653014133253,2021-11-10 09:30:00,1994000.0,20211110,True,False,10.0,4.8868,-0.7727,-1.5117,1.907,0.0,14.886800000000001
603088.SH,宁波精达,10.0,2,8.321377331420374,2021-11-10 09:30:15,1650602.0,20211110,False,True,-2.6093,2.4782,-10.0,-8.7146,3.0231,0.0,-2.6093
605333.SH,沪光股份,10.0,3,-1.3002364066193994,2021-11-10 09:46:45,1818100.0,20211110,False,False,10.0,10.0,10.0,1.9378,-3.604,0.0,31.9378
