,股票简称,昨首停,昨收,前连板,昨封单,昨开,交易日,昨竞一,selected,1_c_chg,2_c_chg,3_c_chg,4_c_chg,5_c_chg
002998.SZ,优彩资源,2021-02-23 14:53:18,9.97605746,2,553442.0,3.8308060654429403,20210223,False,False,-10.0145,10.0,9.9707,10.0,-10.0
600916.SH,中国黄金,2021-02-24 09:30:00,9.99286224,8,48200671.0,9.992862241256248,20210224,True,False,9.9935,10.0295,-9.9732,10.006,-7.4174
000737.SZ,南风化工,2021-02-24 09:30:00,4.92424242,5,5832128.0,4.92424242424242,20210224,True,False,5.0542,-3.7801,-0.8929,-5.045,4.9336
003038.SZ,鑫铂股份,2021-02-24 09:30:00,9.99475341,5,10392127.0,9.994753410283323,20210224,True,False,-0.6201,-10.0072,-6.6667,-9.5143,1.042
603655.SH,朗博科技,2021-02-24 09:32:00,7.52886836,4,,9.468822170900696,20210224,False,True,-3.6082,5.615,0.8439,-8.4519,0.8227
600746.SH,江苏索普,2021-02-24 09:34:45,9.99213218,2,3131456.0,2.2816679779700952,20210224,False,False,-10.0143,-6.8362,4.3515,-6.9501,10.0176
002280.SZ,联络互动,2021-02-24 09:40:30,-1.2244898,2,,1.6326530612244912,20210224,False,False,-3.719,3.8627,4.9587,2.3622,-0.7692
002109.SZ,兴化股份,2021-02-24 09:48:46,10.04098361,4,2945599.0,0.0,20210224,False,False,-10.0559,-5.176,3.0568,9.9576,4.6243
601258.SH,庞大集团,2021-02-24 13:02:44,4.8,3,4241129.0,0.8000000000000007,20210224,False,False,-5.3435,4.8387,0.0,-3.8462,0.0
600916.SH,中国黄金,2021-02-25 09:30:00,9.99351071,9,48200070.0,9.993510707332895,20210225,True,False,10.0295,-9.9732,10.006,-7.4174,1.0526
000737.SZ,南风化工,2021-02-25 09:30:00,5.05415162,6,5398693.0,5.054151624548741,20210225,True,False,-3.7801,-0.8929,-5.045,4.9336,1.9892
003038.SZ,鑫铂股份,2021-02-25 09:30:00,-0.62008109,6,,9.99284521822084,20210225,True,False,-10.0072,-6.6667,-9.5143,1.042,-1.9688
600714.SH,金瑞矿业,2021-02-25 09:30:00,9.98463902,2,6186557.0,9.984639016897086,20210225,True,False,10.0559,10.0254,-9.4579,2.6752,4.4665
000422.SZ,湖北宜化,2021-02-25 09:32:00,5.05319149,2,4932087.0,3.4574468085106473,20210225,False,True,-5.0633,4.5333,-5.102,1.6129,-5.0265
601258.SH,庞大集团,2021-02-25 09:44:52,-5.34351145,4,,2.2900763358778646,20210225,False,False,4.8387,0.0,-3.8462,0.0,0.8
600696.SH,岩石股份,2021-02-25 13:44:58,4.98830865,2,117200.0,4.9103663289166075,20210225,False,False,3.5635,5.0179,4.9829,5.0065,-5.0155
600916.SH,中国黄金,2021-02-26 09:30:00,10.02949853,10,22030971.0,10.029498525073743,20210226,True,False,-9.9732,10.006,-7.4174,1.0526,-8.044
000056.SZ,皇庭国际,2021-02-26 09:30:00,10.03236246,2,63616500.0,10.032362459546928,20210226,True,False,-6.1765,-10.0313,-1.3937,-2.4735,0.7246
605133.SH,嵘泰股份,2021-02-26 09:30:00,9.99379268,2,17956147.0,9.993792675356918,20210226,True,False,-9.9887,-10.0,-4.3887,-7.0674,-1.4504
605268.SH,王力安防,2021-02-26 09:30:00,10.03058104,2,8947171.0,10.030581039755333,20210226,True,False,10.0056,-10.0051,-4.941,-9.4507,-2.805
000422.SZ,湖北宜化,2021-02-26 09:31:00,-5.06329114,3,,2.531645569620244,20210226,False,True,4.5333,-5.102,1.6129,-5.0265,-0.8357
600714.SH,金瑞矿业,2021-02-26 09:31:00,10.05586592,3,1218700.0,1.117318435754191,20210226,False,False,10.0254,-9.4579,2.6752,4.4665,-9.9762
603399.SH,吉翔股份,2021-02-26 10:02:30,-2.13464696,2,,-1.4778325123152687,20210226,False,False,,,,,
600696.SH,岩石股份,2021-02-26 10:25:30,3.56347439,3,,-1.855976243504083,20210226,False,False,5.0179,4.9829,5.0065,-5.0155,5.0196
002647.SZ,仁东控股,2021-02-26 11:21:00,10.02109705,2,4782200.0,-0.9493670886075934,20210226,False,False,9.9712,4.0976,9.9665,9.9772,9.9723
603222.SH,济民医疗,2021-02-26 14:10:25,9.96810207,2,982800.0,0.3189792663476948,20210226,False,False,10.0073,2.8345,3.141,7.8931,10.023
000056.SZ,皇庭国际,2021-03-01 09:30:00,-6.17647059,3,,10.000000000000009,20210301,True,False,-10.0313,-1.3937,-2.4735,0.7246,-1.4388
605268.SH,王力安防,2021-03-01 09:30:00,10.00555864,3,30035876.0,10.005558643690943,20210301,True,False,-10.0051,-4.941,-9.4507,-2.805,0.3356
600193.SH,创兴资源,2021-03-01 09:30:00,5.00863558,2,2050600.0,5.008635578583766,20210301,True,False,-3.6184,1.0239,-0.3378,-1.6949,-1.0345
600834.SH,申通地铁,2021-03-01 09:30:00,-4.17801998,2,,9.990917347865574,20210301,True,False,0.1896,-4.825,-2.3857,-4.7862,3.1016
002647.SZ,仁东控股,2021-03-01 09:45:44,9.97123682,3,11747500.0,5.369127516778528,20210301,False,True,4.0976,9.9665,9.9772,9.9723,10.0126
603222.SH,济民医疗,2021-03-01 10:05:01,10.00725163,3,3415700.0,0.6526468455402584,20210301,False,False,2.8345,3.141,7.8931,10.023,10.0
600714.SH,金瑞矿业,2021-03-01 10:40:38,10.02538071,4,1196046.0,-2.2842639593908594,20210301,False,False,-9.4579,2.6752,4.4665,-9.9762,-6.2005
002998.SZ,优彩资源,2021-03-01 14:48:59,10,2,373600.0,2.3999999999999964,20210301,False,False,-10.0,-8.0135,10.0293,-9.98,-7.9084
600193.SH,创兴资源,2021-03-02 09:30:00,-3.61842105,3,,4.934210526315787,20210302,True,False,1.0239,-0.3378,-1.6949,-1.0345,-0.8711
603126.SH,中材节能,2021-03-02 09:30:00,10.06006006,2,16962057.0,10.06006006006006,20210302,True,False,9.9591,10.0496,10.0338,10.041,-9.9628
603603.SH,博天环境,2021-03-02 09:30:00,9.94152047,2,1912200.0,9.941520467836254,20210302,True,False,3.1915,-1.7182,-8.7413,9.9617,-9.7561
601038.SH,一拖股份,2021-03-02 09:33:30,9.98217469,2,6352200.0,5.169340463458111,20210302,False,True,9.9676,10.0221,1.4735,3.5644,-10.0064
600980.SH,北矿科技,2021-03-02 09:35:30,-0.0547046,2,,3.9387308533916783,20210302,False,False,1.861,-4.8898,-3.6158,-3.9273,-5.5522
603126.SH,中材节能,2021-03-03 09:30:00,9.95907231,3,5230892.0,9.959072305593457,20210303,True,False,10.0496,10.0338,10.041,-9.9628,-4.5502
605298.SH,必得科技,2021-03-03 09:30:00,9.98815634,2,15735005.0,9.988156336360053,20210303,True,False,-8.0043,-9.9493,0.13,-5.3656,10.0137
002494.SZ,华斯股份,2021-03-03 09:30:15,10.02386635,2,29101548.0,8.353221957040564,20210303,False,True,-7.1584,2.8037,-10.0,-10.101,-3.3708
600696.SH,岩石股份,2021-03-03 09:31:15,5.00650195,2,541099.0,3.3159947984395304,20210303,False,False,-5.0155,5.0196,0.0621,5.0248,1.6539
601038.SH,一拖股份,2021-03-03 09:34:30,9.96758509,3,7409457.0,0.8914100486223617,20210303,False,False,10.0221,1.4735,3.5644,-10.0064,-8.4986
002378.SZ,章源钨业,2021-03-03 09:44:00,9.9871959,2,7352167.0,-1.280409731113952,20210303,False,False,10.0116,-3.7037,10.0,-9.99,-9.545
002847.SZ,盐津铺子,2021-03-03 15:00:00,10,2,29490.0,0.7067137809187254,20210303,False,False,-4.2323,-2.0881,-3.0319,-3.5506,0.7784
603126.SH,中材节能,2021-03-04 09:30:00,10.04962779,4,11851083.0,10.049627791563259,20210304,True,False,10.0338,10.041,-9.9628,-4.5502,9.9675
002658.SZ,雪迪龙,2021-03-04 09:32:00,9.98613037,2,7107157.0,2.0804438280166484,20210304,False,True,3.5309,-4.7503,-9.9744,-2.5568,4.6647
002665.SZ,首航高科,2021-03-04 09:32:15,-1.8018018,2,,4.504504504504488,20210304,False,False,-6.422,-1.9608,-6.5,4.2781,5.1282
