,股票简称,昨收,前连板,昨开,昨首停,昨封单,交易日,昨竞一,selected,1_c_chg,2_c_chg,3_c_chg,4_c_chg,5_c_chg,0_c_chg,profit
002289.SZ,宇顺电子,5.0295858,2,5.029585798816566,2020-01-15 09:30:00,1018416.0,20200115,True,False,4.9765,-5.0089,-4.6139,5.0346,4.9812,-4.9704142,0.006085800000000141
002971.SZ,和远气体,10.0,2,9.976662777129526,2020-01-15 09:30:00,4369897.0,20200115,True,False,10.0,10.0,10.0,10.0,-8.4783,0.0,31.5217
603901.SH,永创智能,-5.67375887,2,10.0,2020-01-15 09:30:00,,20200115,True,False,-2.6316,0.3861,-1.0769,-1.0109,0.3142,-15.67375887,-18.30535887
603888.SH,新华网,10.0,2,4.594962559564334,2020-01-15 09:36:31,2122166.0,20200115,False,True,-6.2191,10.0,-2.0396,-7.1341,2.0112,0.0,-6.2191
603608.SH,天创时尚,7.41444867,2,-0.2851711026615909,2020-01-15 10:01:01,,20200115,False,False,-5.8407,7.4248,-6.0367,-7.9143,10.0,-2.5855513300000004,-8.42625133
002837.SZ,英维克,10.0,2,5.652173913043481,2020-01-15 13:18:46,3112816.0,20200115,False,False,10.0,10.0,5.3904,-4.2157,-10.0,0.0,25.3904
002973.SZ,侨银股份,10.0,8,9.987593052109178,2020-01-16 09:30:00,11654120.0,20200116,True,False,10.0,10.0,-8.9977,-9.8361,-1.7045,0.0,11.0023
300812.SZ,易天股份,10.0,5,9.991158267020326,2020-01-16 09:30:00,1239986.0,20200116,True,False,10.0,10.0,10.0,10.0,5.0103,0.0,10.0
002289.SZ,宇顺电子,4.97652582,3,4.976525821596238,2020-01-16 09:30:00,1675907.0,20200116,True,False,-5.0089,-4.6139,5.0346,4.9812,-5.0134,-5.02347418,-10.03237418
002971.SZ,和远气体,10.0,3,10.026525198938977,2020-01-16 09:30:00,2895897.0,20200116,True,False,10.0,10.0,10.0,-8.4783,0.0396,0.0,21.5217
300813.SZ,泰林生物,10.0,2,10.013764624913971,2020-01-16 09:30:00,1593600.0,20200116,True,False,10.0,10.0,10.0,10.0,10.0,0.0,10.0
000626.SZ,远大控股,5.90128755,2,5.68669527896995,2020-01-16 09:32:45,,20200116,False,True,-0.6079,-0.7136,-7.7002,0.5562,-7.4115,-4.09871245,-4.70661245
002837.SZ,英维克,10.0,3,3.162055335968382,2020-01-16 09:37:45,2369272.0,20200116,False,False,10.0,5.3904,-4.2157,-10.0,3.7729,0.0,15.3904
002973.SZ,侨银股份,10.0,9,9.983079526226732,2020-01-17 09:30:00,8875114.0,20200117,True,False,10.0,-8.9977,-9.8361,-1.7045,-10.0,0.0,1.0023
300812.SZ,易天股份,10.0,6,10.008038585209011,2020-01-17 09:30:00,1906213.0,20200117,True,False,10.0,10.0,10.0,5.0103,-10.0,0.0,10.0
002289.SZ,宇顺电子,-5.00894454,4,5.008944543828269,2020-01-17 09:30:00,,20200117,True,False,-4.6139,5.0346,4.9812,-5.0134,-4.9953,-15.00894454,-19.62284454
002971.SZ,和远气体,10.0,4,9.980713596914178,2020-01-17 09:30:00,2885596.0,20200117,True,False,10.0,10.0,-8.4783,0.0396,6.5691,0.0,11.5217
300813.SZ,泰林生物,10.0,3,10.009383797309987,2020-01-17 09:30:00,1321379.0,20200117,True,False,10.0,10.0,10.0,10.0,10.0,0.0,10.0
600114.SH,东睦股份,6.52866242,2,10.031847133757958,2020-01-17 09:30:00,,20200117,True,False,0.9716,-10.0,1.6447,-4.0453,-10.0,-3.47133758,-2.49973758
603839.SH,安正时尚,10.0,2,6.822157434402343,2020-01-17 09:30:15,1336101.0,20200117,False,True,-1.4838,-10.0,-7.0532,-3.7942,-10.0,0.0,-1.4838
000700.SZ,模塑科技,10.0,2,6.815203145478381,2020-01-17 13:45:30,3361879.0,20200117,False,False,10.0,10.0,10.0,10.0,-10.0,0.0,30.0
002291.SZ,星期六,-6.73886883,2,4.422382671480141,2020-01-17 14:14:30,,20200117,False,False,10.0,-10.0,-7.1359,-4.9474,-2.7685,-16.73886883,-23.87476883
002837.SZ,英维克,10.0,4,4.204096298957966,2020-01-17 14:48:00,2575310.0,20200117,False,False,5.3904,-4.2157,-10.0,3.7729,-10.0,0.0,5.3904
002973.SZ,侨银股份,10.0,10,9.999999999999996,2020-01-20 09:30:00,11419441.0,20200120,True,False,-8.9977,-9.8361,-1.7045,-10.0,10.0,0.0,-8.9977
300812.SZ,易天股份,10.0,7,9.992692729265617,2020-01-20 09:30:00,2346500.0,20200120,True,False,10.0,10.0,5.0103,-10.0,-4.7059,0.0,10.0
002971.SZ,和远气体,10.0,5,9.995615957913202,2020-01-20 09:30:00,3031196.0,20200120,True,False,10.0,-8.4783,0.0396,6.5691,10.0,0.0,1.5216999999999992
300813.SZ,泰林生物,10.0,4,10.008529997156655,2020-01-20 09:30:00,1546100.0,20200120,True,False,10.0,10.0,10.0,10.0,10.0,0.0,10.0
