,股票简称,昨首停,昨收,昨开,前连板,昨封单,交易日,昨竞一,selected,1_c_chg,2_c_chg,3_c_chg,4_c_chg,5_c_chg
603779.SH,威龙股份,2021-01-20 09:30:00,5.07880911,5.078809106830123,2,880460.0,20210120,True,False,5.0,-3.6508,-0.9885,-2.995,-0.8576
003032.SZ,传智教育,2021-01-20 09:30:00,9.99490056,9.994900560938301,6,12247418.0,20210120,True,False,10.0139,-9.9874,-5.3371,6.3304,-5.907
603500.SH,祥和实业,2021-01-20 09:30:00,10.00680735,10.006807351940099,4,3161886.0,20210120,True,False,-10.0248,-9.9725,-10.0076,-6.0272,-0.6323
000020.SZ,深华发A,2021-01-20 09:30:15,10.04608295,9.861751152073735,2,12685526.0,20210120,False,True,3.2663,-7.9481,-9.9559,-9.9804,-7.0652
002096.SZ,南岭民爆,2021-01-20 09:30:15,10,8.831168831168839,2,4541900.0,20210120,False,False,10.0354,-9.9785,-7.1514,-8.4724,4.3478
002943.SZ,宇晶股份,2021-01-20 09:30:15,10.02076843,7.268951194184831,2,2468100.0,20210120,False,False,10.0047,7.2501,-10.0,-10.0,-9.9753
002172.SZ,澳洋健康,2021-01-20 09:30:30,9.90712074,9.907120743034051,2,12193449.0,20210120,False,False,10.1408,-9.9744,-0.2841,-9.9715,2.8481
002370.SZ,亚太药业,2021-01-20 09:31:15,10,2.8888888888888866,4,8260556.0,20210120,False,False,10.101,-9.9083,-4.6843,-10.0427,-9.0261
002289.SZ,宇顺电子,2021-01-20 09:33:00,5.04087193,5.0408719346049065,2,683699.0,20210120,False,False,,,,,
002305.SZ,南国置业,2021-01-20 09:38:30,9.92907801,6.3829787234042605,5,11836949.0,20210120,False,False,-9.0323,-9.9291,-9.8425,-5.2402,-1.8433
601015.SH,陕西黑猫,2021-01-20 09:40:17,10.1010101,5.05050505050505,3,8139320.0,20210120,False,False,10.0917,6.1667,10.0471,9.9857,-5.3178
002638.SZ,勤上股份,2021-01-20 14:00:56,5.03144654,0.0,2,797129.0,20210120,False,False,1.1976,1.7751,1.1628,2.2989,-5.0562
300641.SZ,正丹股份,2021-01-20 14:26:38,20.06269592,10.501567398119123,2,1370425.0,20210120,False,False,6.3969,-11.9018,-13.0919,-5.4487,2.0339
003031.SZ,中瓷电子,2021-01-21 09:30:00,10.00724113,10.007241129616215,13,2828854.0,20210121,True,False,10.0053,4.7152,1.8171,-10.0011,-10.0025
003035.SZ,南网能源,2021-01-21 09:30:00,9.90990991,9.909909909909898,2,443460110.0,20210121,True,False,9.8361,10.0746,10.1695,10.1538,10.0559
002269.SZ,美邦服饰,2021-01-21 09:30:00,-6.36942675,10.191082802547765,2,,20210121,True,False,-9.5238,-4.5113,0.7874,-4.6875,9.8361
000558.SZ,莱茵体育,2021-01-21 09:30:00,9.9378882,9.93788819875776,2,10914299.0,20210121,True,False,-9.0395,-9.9379,-5.8621,2.9304,-3.2028
603779.SH,威龙股份,2021-01-21 09:30:00,5,4.999999999999997,3,724190.0,20210121,True,False,-3.6508,-0.9885,-2.995,-0.8576,-0.8651
